Nome,CPF,Data Nascimento,Renda,Cota,CID
Oliver Ricardo Ribeiro,925.091.645-03,24/03/1980,2000.00,GERAL,
Lavínia Mariah Jennifer dos Santos,843.831.525-97,5/10/2005.00,1045,GERAL,
Sabrina Luna Laís Cavalcanti,945.553.979-91,26/11/1971,3000.00,DEIFICENTE FÍSICO,H90
Hugo Manuel Novaes,239.964.398-49,19/10/1971,7850.00,GERAL,
Ana Brenda Esther Ramos,840.216.806-56,23/08/1982.50,DEIFICENTE FÍSICO,H90
Sérgio Vinicius Barros,479.893.965-05,4/7/1956,5225.00,IDOSO,
Bruno Levi Dias,053.246.187-80,13/09/1941,2500.00,IDOSO,
Tomás João Moreira,358.414.793-00,26/10/1940,998.00,IDOSO,
Severino Igor Mário Barros,958.617.790-40,21/02/1994,4000.00,DEIFICENTE FÍSICO,H90
Malu Emilly Pinto,071.865.388-27,19/09/2002,39000.00,GERAL,
Giovanna Gabriela da Mota,735.196.008-97,18/12/1995,1250.00,GERAL,
Eduardo Gael Cardoso,737.055.718-93,11/3/1977,5225.99,DEIFICENTE FÍSICO,
Heitor Kauê Martins,005.517.108-00,22/06/1986,3000.58,GERAL,
Rebeca Rita Moura,325.541.788-01,26/08/1981,1250.98,DEIFICENTE FÍSICO,
Rodrigo Sebastião Araújo,785.118.978-01,20/05/1958,6000.79,DEIFICENTE FÍSICO,H90
Leandro Gustavo Viana,411.601.448-69,26/04/1945,10999.99,GERAL,
Letícia Rita Ferreira,025.500.928-39,13/03/1956,3675.64,IDOSO,
Kaique Calebe Almeida,128.021.648-48,27/04/1972,4488.48,GERAL,
Raul Emanuel Araújo,531.380.488-03,16/12/1985,4567.45,IDOSO,
Allana Marina Mariane Alves,887.969.268-21,9/11/1980,5454.55,GERAL,
